case_id,conversation_id,intent,human_routing,system_routing,match,system_reasons,customer_message
gold_011,conv_286375,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,HUMAN_ESCALATION,True,Intent classification confidence (0.78) below threshold (0.80).,Ever since I updated my phone my apps have been freezing like crazy. What gives! @AppleSupport
gold_012,conv_112905,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,#iphone5s @115858 I want to go back to iOS 10. How? Battery draining can’t withstand 12hrs.
gold_013,conv_237591,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,AUTO_HANDLE,True,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,hey whenever i try to download hearthstone it stops at 70% and says it failed its only with this app too. im on ios 11.0.2
gold_014,conv_287471,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"iPhone 7, IOS 11.0.2 freezes on text input, temporary fix is to restart, freezes again after about an hour @115858 @AppleSupport help!"
gold_015,conv_146804,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,HUMAN_ESCALATION,False,Intent classification confidence (0.78) below threshold (0.80).,"When did @115858 phones start lagging?
iPhone SE started lagging after latest iOS update. Intentional @AppleSupport ?
So that I upgrade my phone?"
gold_016,conv_11648,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,Brand New Effect on #iOS11 @AppleSupport Beautiful! Great work! 😂 https://t.co/0INPNlWcvT
gold_017,conv_154463,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.88 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,just upgraded to latest iPhone software / phone locks up several times per day - sometimes requires reboot - not good
gold_018,conv_205189,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,I’m running iOS 11.0.2 and my custom ringtone doesn’t work? I’ve followed these steps https://t.co/LKrJCb7DSd & still no luck
gold_019,conv_114509,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"After installing iOS 11.1.2 apple apps close such as Podcasts, while playing and also apps from other developers. iPhone also feels slow and it gets hot and battery is running lower than usual. @115858 @AppleSupport #ios1112"
gold_020,conv_288479,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,HUMAN_ESCALATION,False,No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,"every reboot, i get this. even when i quit the installer as suggested https://t.co/kOhohSH6UZ"
gold_021,conv_46580,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,AUTO_HANDLE,True,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,I got my songs back. IOS 11 affected my password somehow and wouldn’t let me log in. Had to change password
gold_022,conv_10671,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,HUMAN_ESCALATION,True,Intent classification confidence (0.78) below threshold (0.80).,"So, since updating the latest iOS, Pages no longer lets me open any docs, all show, just don’t open. Suggestions? Anyone?"
gold_023,conv_50044,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,my phone’s battery is draining faster after upgrading to ios 11.1. (I have iphone 6s). Please fix this issue asap.😩
gold_024,conv_222976,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.98 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,strobing updated app dot? #iOS11 https://t.co/r3iOUpQa61
gold_025,conv_50082,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,iOS 11.1 on iPhone 6 Battery drain increased. You guys should retire gracefully if you can’t solve simple problem @AppleSupport
gold_026,conv_86983,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"It’s unbelievable that @115858, @AppleSupport still haven’t sorted out the battery issues on iOS 11. I almost don’t want to use my phone because of how quickly it drains out. Unacceptable."
gold_027,conv_12013,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.85 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,Excuse me @115858 @AppleSupport: when y’all gonna address the fact that some glitch is turning Is into hieroglyphics?!
gold_028,conv_8570,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,HUMAN_ESCALATION,False,Intent classification confidence (0.78) below threshold (0.80).; No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,"FYI, Folders no longer show Folder Names after update unless folder highlighted. https://t.co/1iiNNz9ZFk"
gold_029,conv_272481,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,What’s with the funny characters at the top left? IOS 11.03 @applesupport https://t.co/22m1mt9HDv
gold_030,conv_101246,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,AUTO_HANDLE,True,High intent confidence (0.98 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"updated to iOS 11.1.2, phone crashes repeatedly at 32% battery life. Briefly flashes ‘plug in graphic’, the will restart and crash again within seconds. When drained past 30%, suddenly works fine. Something buggy with the low battery emergency shutdown trigger."
gold_031,conv_151523,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,AUTO_HANDLE,True,High intent confidence (0.98 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,hey I just purchased this iPhone 8 Plus and I’ve been trying to do this update for AGES to get it to turn on. It says verifying update for ages and then fails. Please help?!?!! https://t.co/RSLLhGZebH
gold_032,conv_14328,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.98 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,why does this keep happening? Started prior to iOS 11.1 update. Still happens post update. https://t.co/OykRItEdQP
gold_033,conv_62279,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,why isn’t the weather’s widget not working no more? (Even since iOS 11.1) https://t.co/XLQNCFXKDO
gold_034,conv_235810,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,AUTO_HANDLE,True,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,probleme de clavier ( tellement lent et decaler) depuis la migration vers IOS11 avec mon iphone 5S
gold_035,conv_269525,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,HUMAN_ESCALATION,False,No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,How do I play music albums by year in iOS 11?
gold_036,conv_50615,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,HUMAN_ESCALATION,True,Intent classification confidence (0.78) below threshold (0.80).,y’all really bout to piss me off with this dumbass update. My phone keeps crashing and shutting off
gold_037,conv_223000,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,Someone help where did my dock go. iOS 11 is absolute trash. @AppleSupport https://t.co/XAjhEdgjbc
gold_038,conv_172981,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,HUMAN_ESCALATION,True,No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,"hey! I get a message on #macOS when I connect my #iPhoneX to #MacBookPro (15"", 2017) using USB-C to #Lightning cable - it says it draws too much power??!! Should I be concerned??"
gold_039,conv_252896,OPERATING_SYSTEM_UPDATES,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.98 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,hey how can my phone not freeze every 5 mins with iOS11? Ideas??
gold_040,conv_188571,OPERATING_SYSTEM_UPDATES,AUTO_HANDLE,HUMAN_ESCALATION,False,Intent classification confidence (0.78) below threshold (0.80).,"congrats, with your new update i can't charge my iphone any more."
gold_041,conv_148181,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"my iPhone 6s seems to be losing battery VERY quickly. (Gone from 30% to 9% in about 20 mins) is it worth taking to a Genius Bar, can they check battery function?"
gold_042,conv_90575,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,why does my phone jump from 60% to 30% phone battery and then die before it reaches 20%? So annoying 🙃🙃
gold_043,conv_293409,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,please give either of the option : 1. Get your money back 2. iOS downgrade ! Fed up of draining battery post upgrade ! 😓
gold_044,conv_255105,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"I have 2 Iphone 7+, but 1 runs out a battery super quick, how can I Test the battery to see if there a issue w. It?"
gold_045,conv_148183,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,Last @115858 iOS update sucks!!!! Slow down my #iPhone6 and the battery dies so fast. Is this the way you're trying to sell iPhones? @AppleSupport Mobiles shouldn't have #PlannedObsolescence #mobile #iPhone #iPhone6 #iPhoneUpdate #AppleLovers
gold_046,conv_267748,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"upgraded to 11.02 and now that battery literally counts down before my eyes, and then stays on 1% for 20 mins b4 power off!"
gold_047,conv_236428,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,HUMAN_ESCALATION,True,No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,"Hello
I have a question whether the intermittent charging is better for the battery better than the full charge"
gold_048,conv_119534,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,Have to say I’m unfortunately falling out of love with my @115858 IPhone this draining of the battery since the ISO update is wearing thin @AppleSupport #bloodyupdate I’m sure updates are supposed to enhance not hinder
gold_049,conv_284072,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,The battery life is bullshit since this update @115858 @AppleSupport
gold_050,conv_292363,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"what a shitty update again from you #apple my phone once fixed, now agan battery fucked up. Shame on you. My last iphone😡😡😡"
gold_051,conv_265026,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"Can I get the battery diagnostics tool, please?"
gold_052,conv_146628,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,how can i check the battery health on my iphone5? it often shuts down at 30% or so
gold_053,conv_255803,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,you guys have killed the battery life on my 6S Plus. Thanks .
gold_054,conv_284077,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,I need to understand why since the update my battery dead’s in like 10mins and my phone continuously cuts off randomly.
gold_055,conv_235807,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"Then the phone finally switches on (""Battery 100%"" 😁) you start typing a Whatsapp reply and then we're back to this... 😠 @AppleSupport https://t.co/IwRFE850M4"
gold_056,conv_124415,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.92 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"When your IPhone charger breaks, starts leaking blue stuff and your phone is on 5% 🙃🙃🙃 @AppleSupport"
gold_057,conv_265131,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,HUMAN_ESCALATION,True,No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,">>Battery drains, whatsapp &more apps freezing, spotify not working in lockscreen. GUI is awful, it looks like a cheap android"
gold_058,conv_59591,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.90 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,My home button won’t go home but I can still double click to close out apps. HELP @AppleSupport
gold_059,conv_92762,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,HUMAN_ESCALATION,True,No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,How do you activate the emergency sos with the X because hitting the power button continuously just brush up my Apple Pay @AppleSupport
gold_060,conv_121561,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.92 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,I bought one of those chargers that are like 2 ft long a couple months ago and the cable is already ruined
gold_061,conv_293405,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.90 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,.@AppleSupport iphone won't work. can't call u bc its frozen. cant get serial # bc frozen. lock or lock + home button won't shut it off HELP
gold_062,conv_41645,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,iPhone battery went from 100 to 54 in just 40 minutes. I updated the iOS yesterday. What gives? @AppleSupport
gold_063,conv_216143,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,Apparently 31% is the new 1%!!!! Thx @115858 @AppleSupport for making iPhone 6's battery complete ASS since the X came out!!!!
gold_064,conv_290531,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,saben si existe algún problema en la carga de batería del celular ?? No he podido cargarlo
gold_065,conv_195967,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,since 11.0 update my iPhone 7+ Bluetooth drops out within 1 song on Bluetooth speakers Sony XB2 - iPhone 5 works fine. Pls fix
gold_066,conv_34667,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,- iPhone 6S Plus suddenly losing battery life since yesterday - % goes down by the second. Any ideas on what it might be?
gold_067,conv_208610,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"real issues with making phone calls since the update. They can’t hear me I can’t hear them. Battery replaced, still going on!"
gold_068,conv_170360,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,HUMAN_ESCALATION,True,No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,my brothers iPhone 5 has stopped working. Connected to iTunes for update. As soon as it finished it switched off and won’t turn back on even on the charger. Any help?
gold_069,conv_164177,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,: the latest update is already causing iPhone 7 heat up and drain the charge in no time.
gold_070,conv_215378,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,Hey @AppleSupport the new update is sucking my battery dry all day long. Help!
gold_071,conv_90251,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,I’m still having major battery issues since downloading 11.0.3 despite 3 trips to an Apple store and a complete reset done by the store. When is this software issue going to be resolved?
gold_072,conv_41617,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,The new #IOS update is killing my battery. Why is this happening? @AppleSupport
gold_073,conv_176010,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,Every time I turn my phone on Bluetooth randomly turns on and kills my battery @AppleSupport wyd?
gold_074,conv_117940,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"Hi @AppleSupport, could you pls explain why, since I downloaded yr iOS update, my iPhone crashes at 10%, 20%, even 40% battery? Massively inconvenient at best."
gold_075,conv_145256,BATTERY_POWER_HARDWARE,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,Apple Watch 3 battery has been draining so quickly the past week - not used overnight but 40% battery drain
gold_076,conv_143509,ACCOUNT_APPLE_ID,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.98 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,hello I’ve been trying to get verification code for signing in to my apple ID but I didn’t receive any code. Need help.
gold_077,conv_174936,ACCOUNT_APPLE_ID,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,I don’t want to use your iCloud. I do I make it so you can’t keep reminding me to sign in. If it keeps happening I’ll just switch companies https://t.co/yYHXpJoSAN
gold_078,conv_211148,ACCOUNT_APPLE_ID,HUMAN_ESCALATION,HUMAN_ESCALATION,True,No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,"Please advise why, since updating the operating system, the iCloud icon is missing??? https://t.co/gVTQIDVgoj"
gold_079,conv_150023,ACCOUNT_APPLE_ID,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"issue with my daughters iphone,its asking for apple id and password but shes forgotten the password,icloud has locked her out of her icloud account,when she tries to reset the password it will only send an email to icloud which cant be accessed can you help please"
gold_080,conv_46576,ACCOUNT_APPLE_ID,HUMAN_ESCALATION,HUMAN_ESCALATION,True,No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,"I am from the US but I live in China. Is it possible to have my iPhone/Mac iCloud linked to my Chinese info (bank, address), and separate Apple ID linked to my U.S. info (bank, address)?..Want to keep my iCloud storage in China but use App Store/Apple music from US"
gold_081,conv_188597,ACCOUNT_APPLE_ID,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,my ‘Two factor authentication’ isn’t calling the number I have registered to my Apple ID with the code. Why is this?
gold_082,conv_1764,ACCOUNT_APPLE_ID,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.98 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"Hello, I need some help regarding the region change on my Apple ID"
gold_083,conv_97072,ACCOUNT_APPLE_ID,HUMAN_ESCALATION,AUTO_HANDLE,False,High intent confidence (0.95 >= 0.80); Sufficient historical evidence retrieved and verified; No human escalation triggers or risk keywords detected; All grounding and policy checks successfully passed,"Ever since I got my iPhone X I’ve been prompted to sign in to iCloud every day at the same time. I’ve tried completely signing out then back in, changing the password, nothing has worked so far. Any ideas?"
gold_084,conv_15722,ACCOUNT_APPLE_ID,HUMAN_ESCALATION,HUMAN_ESCALATION,True,No historical resolved support cases found to ground response.; Response validation failed (hallucination or unverified claim check).,"6 years later I still can’t access Contacts on iCloud, what do we need to do to finally get this fixed, @AppleSupport? //cc @119462 https://t.co/EP9KWcig3M"
